SN,Crop,Variety,Landrace used,Breeding method,Year released
1,Asparagus,Khumal Tane,Local landrace,Pureline selection,1994
,Bean,Sarlahi Tane,Local landrace,Pureline selection,1994
2,Barley,Solu Uwa,Landrace from Solukhumbu,Pureline selection,1990
3,Black Gram,Kalu,Local landrace,Mass selection,1989
4,Broad Leaf,Khumal Broad Leaf,Local landrace,Mass selection,1989
,Mustard,Khumal Rato Pat,Local landrace,Mass selection,1994
,,Marpha Broad Leaf,Local landrace,Mass selection,1994
5,Cauliflower,Kathmandu Local,Local landrace,Mass selection,1994
6,Chickpea,Dhanush,Local landrace,Mass selection,1979
,,Trishul,Local landrace,Mass selection,1979
7,Cowpea,Akash,Local landrace,Pureline selection,1990
8,Cucumber,Kusle,Local landrace,Selection,1994
9,Egg Plant,Sarlahi Green,Local landrace,Pureline selection,1994
10,Finger Millet,Okhale-1,Landrace from Okhaldhunga,Mass selection,1980
,,Kabre Kodo-1,Landrace from Surkhet,Mass selection,1990
11,Lentil,Sindur,Local landrace,Mass selection,1979
12,Maize,Ganesh-2,Local landrace,"Exotic / Local cross, composite",1989
,,Hetauda Composite,Local landrace,"Exotic / Local cross, composite",1973
,,Manakamna-1,Local landrace,"Exotic / Local cross, composite",1987
,,Manakamna-5,Local landrace,"Exotic / Local cross, composite",2010
,,Manakamna-6,Local landrace,"Exotic / Local cross, composite",2010
,,Rampur-2,Local landrace,"Exotic / Local cross, composite",1989
,,Resunga Composite,Local landrace,Composite,2014
13,Niger,Nawalpure Jhuse Til-1,Local landrace,Mass selection,2000
14,Pigeon Pea,Bageswori,Local landrace,Pureline selection,1991
,,Rampur Arahar-1,Local landrace,Pureline selection,1991
15,Radish,Pyuthane Rato,Local landrace,Selection,1994
16,Rice,Khumal-2,Jarneli,Landrace /exotic genotype crossing and selection,1987
,,Khumal-,Pokhreli Masino,Landrace /exotic genotype crossing and selection,1987
,,Palung-2,Pokhreli Masino,Landrace /exotic genotype crossing and selection,1987
,,Khumal -5,Pokhreli Masino,Landrace /exotic genotype crossing and selection,1990
,,Chhomrong,Ghandruk local,Pureline selection,1991
,,Machhapuchhre-3,Chhomrong,Variety /exotic genotype crossing and selection,1996
,,Pokhreli Jethobudho,Jethodbudho landraces,Mass selection,2006
,,Khumal-8,Jumli Marshi,Landrace /exotic genotype crossing and selection,2006
,,Lalka Basmati,Local Lalka Basmati,Mass selection,2010
,,Lekali Dhan-3,Chhomrong,Variety /exotic genotype crossing and selection,2014
,,Lekali Dhan-1,Chhomrong,Variety /exotic genotype crossing and selection,2014
17,Sesame,Nawalpure Khairo Til-1,Local landrace,Mass selection,2000
18,Soybean,Lumle Bhatmas-1,Local landrace,Mass selection,1996
19,Sponge Gourd,Kantipure,Local landrace,Selection,1994
