SN,Name,Location,Reference
1,Myersglanis blythii,"Pharping, Kathmandu Valley",Jairam (1999)
2,Psilorhynchus pseudechenies,River Dudhkoshi,Menon (1962)
3,P. nepalensis,"Rivers Rapti, Seti, Narayani",Conway and Mayden (2010)
4,Pseudeutropius murius batarensis,"Batar, Trishuli",Shrestha (1981)
5,Schizothoraichthys macropthalmus,Rara Lake,Terashima (1984)
6,S. nepalnensis,Rara Lake,Terashima (1984)
7,S. raraensis,Rara Lake,Terashima (1984)
8,Batasio macronotus,River Koshi,Ng and Edds (2004)
9,Pseudecheneis crassicaudata,Mewa Khola (River Tamor),Ng and Edds (2005)
10,P. serracula,"Rivers Seti, Kali Gandaki, Narayani, Mahakali and Karnali",Ng and Edds (2005)
11,P. eddsi,Mahesh Khola (R. Trishuli),Ng (2006)
12,Erethistoides ascita,"Rivers Mechi, Kankai, Trijuga, and Koshi",Ng and Edds (2005)
13,E. cavatura,"Rivers Dhungra, Rapti and Narayani",Ng and Edds (2005)
14,Balitora eddsi,River Karnali,Conway and Mayden (2010)
15,Neoanguilla nepalensis,Chitwan,Shrestha (2008)
16,Turcinoemacheilus himalaya,"Rivers Indrawati, Koshi, Kali Gandaki and Narayani","Conway, et al. (2011)"
